villages,share_score,L1_D,L2_D
Bilongo,,,
Bituyu,,,
Chebosi,,,
Kakimanyi,,,
Kinesamo,,,
Kiwjandege,,,
Kuywa,,,
Luanda,,,
Lugari,,,
Lukhuna,,,
Lumbwa,,,
Lurare,,,
Lutaso,,,
Makuma,,,
Makutano,,,
Malaha,,,
Maliki,,,
Mangana,,,
Maruti,,,
Matisi,,,
Mfunje,,,
Mfutu,,,
Muji,,,
Mukhuyu,,,
Musaka,,,
Nabuyole,,,
Nakhaenje,,,
Nambalayi,,,
Namikela,,,
Nang'eni,,,
Nang'oto,,,
Nangili,,,
Ngachi,,,
Ngwelo,,,
Nzoia,,,
Sango,,,
Siboti,,,
Sichinikhi,,,
Siilila,,,
Sinoko,,,
Sinoko B,,,
Sitabicha,,,
Wananchi,,,
Wenyila,,,